i;t;AC_ait
1;1;100000
1;2;100000
1;3;100000
1;4;100000
1;5;100000
1;6;100000
1;7;100000
1;8;100000
1;9;100000
1;10;100000
1;11;100000
1;12;100000
1;13;100000
1;14;100000
2;1;100000
2;2;100000
2;3;100000
2;4;100000
2;5;100000
2;6;100000
2;7;100000
2;8;100000
2;9;100000
2;10;100000
2;11;100000
2;12;100000
2;13;100000
2;14;100000
3;1;100000
3;2;100000
3;3;100000
3;4;100000
3;5;100000
3;6;100000
3;7;100000
3;8;100000
3;9;100000
3;10;100000
3;11;100000
3;12;100000
3;13;100000
3;14;100000
4;1;100000
4;2;100000
4;3;100000
4;4;100000
4;5;100000
4;6;100000
4;7;100000
4;8;100000
4;9;100000
4;10;100000
4;11;100000
4;12;100000
4;13;100000
4;14;100000
5;1;100000
5;2;100000
5;3;100000
5;4;100000
5;5;100000
5;6;100000
5;7;100000
5;8;100000
5;9;100000
5;10;100000
5;11;100000
5;12;100000
5;13;100000
5;14;100000
6;1;100000
6;2;100000
6;3;100000
6;4;100000
6;5;100000
6;6;100000
6;7;100000
6;8;100000
6;9;100000
6;10;100000
6;11;100000
6;12;100000
6;13;100000
6;14;100000
7;1;100000
7;2;100000
7;3;100000
7;4;100000
7;5;100000
7;6;100000
7;7;100000
7;8;100000
7;9;100000
7;10;100000
7;11;100000
7;12;100000
7;13;100000
7;14;100000
8;1;100000
8;2;100000
8;3;100000
8;4;100000
8;5;100000
8;6;100000
8;7;100000
8;8;100000
8;9;100000
8;10;100000
8;11;100000
8;12;100000
8;13;100000
8;14;100000
9;1;100000
9;2;100000
9;3;100000
9;4;100000
9;5;100000
9;6;100000
9;7;100000
9;8;100000
9;9;100000
9;10;100000
9;11;100000
9;12;100000
9;13;100000
9;14;100000
10;1;100000
10;2;100000
10;3;100000
10;4;100000
10;5;100000
10;6;100000
10;7;100000
10;8;100000
10;9;100000
10;10;100000
10;11;100000
10;12;100000
10;13;100000
10;14;100000

