u;t;Cap_cut;Cap_eut;Cap_fut;H_cut;H_eut;H_fut
1;1;100000;100000;100000;8;8;8
1;2;100000;100000;100000;8;8;8
1;3;100000;100000;100000;8;8;8
1;4;100000;100000;100000;8;8;8
1;5;100000;100000;100000;8;8;8
1;6;100000;100000;100000;8;8;8
1;7;100000;100000;100000;8;8;8
1;8;100000;100000;100000;8;8;8
1;9;100000;100000;100000;8;8;8
1;10;100000;100000;100000;8;8;8
1;11;100000;100000;100000;8;8;8
1;12;100000;100000;100000;8;8;8
1;13;100000;100000;100000;8;8;8
1;14;100000;100000;100000;8;8;8
2;1;100000;100000;100000;8;8;8
2;2;100000;100000;100000;8;8;8
2;3;100000;100000;100000;8;8;8
2;4;100000;100000;100000;8;8;8
2;5;100000;100000;100000;8;8;8
2;6;100000;100000;100000;8;8;8
2;7;100000;100000;100000;8;8;8
2;8;100000;100000;100000;8;8;8
2;9;100000;100000;100000;8;8;8
2;10;100000;100000;100000;8;8;8
2;11;100000;100000;100000;8;8;8
2;12;100000;100000;100000;8;8;8
2;13;100000;100000;100000;8;8;8
2;14;100000;100000;100000;8;8;8
3;1;100000;100000;100000;8;8;8
3;2;100000;100000;100000;8;8;8
3;3;100000;100000;100000;8;8;8
3;4;100000;100000;100000;8;8;8
3;5;100000;100000;100000;8;8;8
3;6;100000;100000;100000;8;8;8
3;7;100000;100000;100000;8;8;8
3;8;100000;100000;100000;8;8;8
3;9;100000;100000;100000;8;8;8
3;10;100000;100000;100000;8;8;8
3;11;100000;100000;100000;8;8;8
3;12;100000;100000;100000;8;8;8
3;13;100000;100000;100000;8;8;8
3;14;100000;100000;100000;8;8;8
4;1;100000;100000;100000;8;8;8
4;2;100000;100000;100000;8;8;8
4;3;100000;100000;100000;8;8;8
4;4;100000;100000;100000;8;8;8
4;5;100000;100000;100000;8;8;8
4;6;100000;100000;100000;8;8;8
4;7;100000;100000;100000;8;8;8
4;8;100000;100000;100000;8;8;8
4;9;100000;100000;100000;8;8;8
4;10;100000;100000;100000;8;8;8
4;11;100000;100000;100000;8;8;8
4;12;100000;100000;100000;8;8;8
4;13;100000;100000;100000;8;8;8
4;14;100000;100000;100000;8;8;8
