p;u;t;TC_cput;G_cput;F_cpu;W_pu
1;1;1;100000;0.2;0.0008;1300
1;1;2;100000;0.2;0.0008;1300
1;1;3;100000;0.2;0.0008;1300
1;1;4;100000;0.2;0.0008;1300
1;1;5;100000;0.2;0.0008;1300
1;1;6;100000;0.2;0.0008;1300
1;1;7;100000;0.2;0.0008;1300
1;1;8;100000;0.2;0.0008;1300
1;1;9;100000;0.2;0.0008;1300
1;1;10;100000;0.2;0.0008;1300
1;1;11;100000;0.2;0.0008;1300
1;1;12;100000;0.2;0.0008;1300
1;1;13;100000;0.2;0.0008;1300
1;1;14;100000;0.2;0.0008;1300
1;2;1;100000;0.2;0.0008;894
1;2;2;100000;0.2;0.0008;894
1;2;3;100000;0.2;0.0008;894
1;2;4;100000;0.2;0.0008;894
1;2;5;100000;0.2;0.0008;894
1;2;6;100000;0.2;0.0008;894
1;2;7;100000;0.2;0.0008;894
1;2;8;100000;0.2;0.0008;894
1;2;9;100000;0.2;0.0008;894
1;2;10;100000;0.2;0.0008;894
1;2;11;100000;0.2;0.0008;894
1;2;12;100000;0.2;0.0008;894
1;2;13;100000;0.2;0.0008;894
1;2;14;100000;0.2;0.0008;894
1;3;1;100000;0.2;0.0008;1219
1;3;2;100000;0.2;0.0008;1219
1;3;3;100000;0.2;0.0008;1219
1;3;4;100000;0.2;0.0008;1219
1;3;5;100000;0.2;0.0008;1219
1;3;6;100000;0.2;0.0008;1219
1;3;7;100000;0.2;0.0008;1219
1;3;8;100000;0.2;0.0008;1219
1;3;9;100000;0.2;0.0008;1219
1;3;10;100000;0.2;0.0008;1219
1;3;11;100000;0.2;0.0008;1219
1;3;12;100000;0.2;0.0008;1219
1;3;13;100000;0.2;0.0008;1219
1;3;14;100000;0.2;0.0008;1219
1;4;1;100000;0.2;0.0008;1389
1;4;2;100000;0.2;0.0008;1389
1;4;3;100000;0.2;0.0008;1389
1;4;4;100000;0.2;0.0008;1389
1;4;5;100000;0.2;0.0008;1389
1;4;6;100000;0.2;0.0008;1389
1;4;7;100000;0.2;0.0008;1389
1;4;8;100000;0.2;0.0008;1389
1;4;9;100000;0.2;0.0008;1389
1;4;10;100000;0.2;0.0008;1389
1;4;11;100000;0.2;0.0008;1389
1;4;12;100000;0.2;0.0008;1389
1;4;13;100000;0.2;0.0008;1389
1;4;14;100000;0.2;0.0008;1389

2;1;1;100000;0.2;0.0008;1212
2;1;2;100000;0.2;0.0008;1212
2;1;3;100000;0.2;0.0008;1212
2;1;4;100000;0.2;0.0008;1212
2;1;5;100000;0.2;0.0008;1212
2;1;6;100000;0.2;0.0008;1212
2;1;7;100000;0.2;0.0008;1212
2;1;8;100000;0.2;0.0008;1212
2;1;9;100000;0.2;0.0008;1212
2;1;10;100000;0.2;0.0008;1212
2;1;11;100000;0.2;0.0008;1212
2;1;12;100000;0.2;0.0008;1212
2;1;13;100000;0.2;0.0008;1212
2;1;14;100000;0.2;0.0008;1212
2;2;1;100000;0.2;0.0008;1673
2;2;2;100000;0.2;0.0008;1673
2;2;3;100000;0.2;0.0008;1673
2;2;4;100000;0.2;0.0008;1673
2;2;5;100000;0.2;0.0008;1673
2;2;6;100000;0.2;0.0008;1673
2;2;7;100000;0.2;0.0008;1673
2;2;8;100000;0.2;0.0008;1673
2;2;9;100000;0.2;0.0008;1673
2;2;10;100000;0.2;0.0008;1673
2;2;11;100000;0.2;0.0008;1673
2;2;12;100000;0.2;0.0008;1673
2;2;13;100000;0.2;0.0008;1673
2;2;14;100000;0.2;0.0008;1673
2;3;1;100000;0.2;0.0008;1821
2;3;2;100000;0.2;0.0008;1821
2;3;3;100000;0.2;0.0008;1821
2;3;4;100000;0.2;0.0008;1821
2;3;5;100000;0.2;0.0008;1821
2;3;6;100000;0.2;0.0008;1821
2;3;7;100000;0.2;0.0008;1821
2;3;8;100000;0.2;0.0008;1821
2;3;9;100000;0.2;0.0008;1821
2;3;10;100000;0.2;0.0008;1821
2;3;11;100000;0.2;0.0008;1821
2;3;12;100000;0.2;0.0008;1821
2;3;13;100000;0.2;0.0008;1821
2;3;14;100000;0.2;0.0008;1821
2;4;1;100000;0.2;0.0008;1109
2;4;2;100000;0.2;0.0008;1109
2;4;3;100000;0.2;0.0008;1109
2;4;4;100000;0.2;0.0008;1109
2;4;5;100000;0.2;0.0008;1109
2;4;6;100000;0.2;0.0008;1109
2;4;7;100000;0.2;0.0008;1109
2;4;8;100000;0.2;0.0008;1109
2;4;9;100000;0.2;0.0008;1109
2;4;10;100000;0.2;0.0008;1109
2;4;11;100000;0.2;0.0008;1109
2;4;12;100000;0.2;0.0008;1109
2;4;13;100000;0.2;0.0008;1109
2;4;14;100000;0.2;0.0008;1109
