p;t;Cap_cpt;H_cpt;PC_cpt;PW_bpt
1;1;100000;0;0.35;0.25
1;2;100000;0;0.35;0.25
1;3;100000;0;0.35;0.25
1;4;100000;0;0.35;0.25
1;5;100000;0;0.35;0.25
1;6;100000;0;0.35;0.25
1;7;100000;0;0.35;0.25
1;8;100000;0;0.35;0.25
1;9;100000;0;0.35;0.25
1;10;100000;0;0.35;0.25
1;11;100000;0;0.35;0.25
1;12;100000;0;0.35;0.25
1;13;100000;0;0.35;0.25
1;14;100000;0;0.35;0.25
2;1;100000;0;0.35;0.25
2;2;100000;0;0.35;0.25
2;3;100000;0;0.35;0.25
2;4;100000;0;0.35;0.25
2;5;100000;0;0.35;0.25
2;6;100000;0;0.35;0.25
2;7;100000;0;0.35;0.25
2;8;100000;0;0.35;0.25
2;9;100000;0;0.35;0.25
2;10;100000;0;0.35;0.25
2;11;100000;0;0.35;0.25
2;12;100000;0;0.35;0.25
2;13;100000;0;0.35;0.25
2;14;100000;0;0.35;0.25
