r;t;D_crt;D_ert;D_frt
1;1;500;500;500
1;2;500;500;500
1;3;500;500;500
1;4;500;500;500
1;5;500;500;500
1;6;500;500;500
1;7;500;500;500
1;8;500;500;500
1;9;500;500;500
1;10;500;500;500
1;11;500;500;500
1;12;500;500;500
1;13;500;500;500
1;14;500;500;500
2;1;500;500;500
2;2;500;500;500
2;3;500;500;500
2;4;500;500;500
2;5;500;500;500
2;6;500;500;500
2;7;500;500;500
2;8;500;500;500
2;9;500;500;500
2;10;500;500;500
2;11;500;500;500
2;12;500;500;500
2;13;500;500;500
2;14;500;500;500
3;1;500;500;500
3;2;500;500;500
3;3;500;500;500
3;4;500;500;500
3;5;500;500;500
3;6;500;500;500
3;7;500;500;500
3;8;500;500;500
3;9;500;500;500
3;10;500;500;500
3;11;500;500;500
3;12;500;500;500
3;13;500;500;500
3;14;500;500;500
4;1;500;500;500
4;2;500;500;500
4;3;500;500;500
4;4;500;500;500
4;5;500;500;500
4;6;500;500;500
4;7;500;500;500
4;8;500;500;500
4;9;500;500;500
4;10;500;500;500
4;11;500;500;500
4;12;500;500;500
4;13;500;500;500
4;14;500;500;500
5;1;500;500;500
5;2;500;500;500
5;3;500;500;500
5;4;500;500;500
5;5;500;500;500
5;6;500;500;500
5;7;500;500;500
5;8;500;500;500
5;9;500;500;500
5;10;500;500;500
5;11;500;500;500
5;12;500;500;500
5;13;500;500;500
5;14;500;500;500
