u;r;t;TC_curt;TC_eurt;TC_furt;G_curt;G_eurt;G_furt;F_cur;F_eur;F_fur;W_ur
1;1;1;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;2;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;3;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;4;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;5;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;6;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;7;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;8;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;9;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;10;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;11;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;12;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;13;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;1;14;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;300
1;2;1;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;2;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;3;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;4;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;5;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;6;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;7;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;8;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;9;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;10;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;11;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;12;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;13;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;2;14;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;600
1;3;1;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;2;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;3;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;4;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;5;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;6;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;7;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;8;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;9;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;10;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;11;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;12;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;13;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;3;14;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;719
1;4;1;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;2;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;3;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;4;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;5;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;6;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;7;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;8;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;9;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;10;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;11;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;12;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;13;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;4;14;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;527
1;5;1;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;2;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;3;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;4;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;5;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;6;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;7;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;8;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;9;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;10;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;11;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;12;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;13;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;5;14;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;279
1;6;1;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;2;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;3;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;4;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;5;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;6;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;7;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;8;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;9;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;10;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;11;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;12;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;13;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;6;14;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;291
1;7;1;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;311
1;7;2;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;311
1;7;3;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;311
1;7;4;1000000;1000000;1000000;0.3;0.3;0.3;0.000015;0.000015;0.000015;311
