r;t;D_crt;D_ert;D_frt
1;1;100;100;100
1;2;100;100;100
1;3;100;100;100
1;4;100;100;100
1;5;100;100;100
1;6;100;100;100
1;7;100;100;100
1;8;100;100;100
1;9;100;100;100
1;10;100;100;100
1;11;100;100;100
1;12;100;100;100
1;13;100;100;100
1;14;100;100;100
2;1;100;100;100
2;2;100;100;100
2;3;100;100;100
2;4;100;100;100
2;5;100;100;100
2;6;100;100;100
2;7;100;100;100
2;8;100;100;100
2;9;100;100;100
2;10;100;100;100
2;11;100;100;100
2;12;100;100;100
2;13;100;100;100
2;14;100;100;100
3;1;100;100;100
3;2;100;100;100
3;3;100;100;100
3;4;100;100;100
3;5;100;100;100
3;6;100;100;100
3;7;100;100;100
3;8;100;100;100
3;9;100;100;100
3;10;100;100;100
3;11;100;100;100
3;12;100;100;100
3;13;100;100;100
3;14;100;100;100
4;1;100;100;100
4;2;100;100;100
4;3;100;100;100
4;4;100;100;100
4;5;100;100;100
4;6;100;100;100
4;7;100;100;100
4;8;100;100;100
4;9;100;100;100
4;10;100;100;100
4;11;100;100;100
4;12;100;100;100
4;13;100;100;100
4;14;100;100;100
5;1;100;100;100
5;2;100;100;100
5;3;100;100;100
5;4;100;100;100
5;5;100;100;100
5;6;100;100;100
5;7;100;100;100
5;8;100;100;100
5;9;100;100;100
5;10;100;100;100
5;11;100;100;100
5;12;100;100;100
5;13;100;100;100
5;14;100;100;100
6;1;100;100;100
6;2;100;100;100
6;3;100;100;100
6;4;100;100;100
6;5;100;100;100
6;6;100;100;100
6;7;100;100;100
6;8;100;100;100
6;9;100;100;100
6;10;1000;1000;1000
6;11;1000;1000;1000
6;12;1000;1000;1000
6;13;1000;1000;1000
6;14;1000;1000;1000
7;1;1000;1000;1000
7;2;1000;1000;1000
7;3;1000;1000;1000
7;4;1000;1000;1000
7;5;1000;1000;1000
7;6;1000;1000;1000
7;7;1000;1000;1000
7;8;100;100;100
7;9;100;100;100
7;10;100;100;100
7;11;100;100;100
7;12;100;100;100
7;13;100;100;100
7;14;100;100;100
8;1;100;100;100
8;2;100;100;100
8;3;100;100;100
8;4;100;100;100
8;5;100;100;100
8;6;100;100;100
8;7;100;100;100
8;8;100;100;100
8;9;100;100;100
8;10;100;100;100
