q;u;t;TC_equt;TC_fqut;G_equt;G_fqut;F_equ;F_fqu;W_qu
1;1;1;1000000000;1000000000;0.3;0.3;0.001;0.001;300
1;1;2;1000000000;1000000000;0.3;0.3;0.001;0.001;300
1;1;3;1000000000;1000000000;0.3;0.3;0.001;0.001;300
1;2;1;1000000000;1000000000;0.3;0.3;0.001;0.001;564
1;2;2;1000000000;1000000000;0.3;0.3;0.001;0.001;564
1;2;3;1000000000;1000000000;0.3;0.3;0.001;0.001;564
1;3;1;1000000000;1000000000;0.3;0.3;0.001;0.001;441
1;3;2;1000000000;1000000000;0.3;0.3;0.001;0.001;441
1;3;3;1000000000;1000000000;0.3;0.3;0.001;0.001;441
1;4;1;1000000000;1000000000;0.3;0.3;0.001;0.001;387
1;4;2;1000000000;1000000000;0.3;0.3;0.001;0.001;387
1;4;3;1000000000;1000000000;0.3;0.3;0.001;0.001;387
2;1;1;1000000000;1000000000;0.3;0.3;0.001;0.001;195
2;1;2;1000000000;1000000000;0.3;0.3;0.001;0.001;195
2;1;3;1000000000;1000000000;0.3;0.3;0.001;0.001;195
2;2;1;1000000000;1000000000;0.3;0.3;0.001;0.001;246
2;2;2;1000000000;1000000000;0.3;0.3;0.001;0.001;246
2;2;3;1000000000;1000000000;0.3;0.3;0.001;0.001;246
2;3;1;1000000000;1000000000;0.3;0.3;0.001;0.001;317
2;3;2;1000000000;1000000000;0.3;0.3;0.001;0.001;317
2;3;3;1000000000;1000000000;0.3;0.3;0.001;0.001;317
2;4;1;1000000000;1000000000;0.3;0.3;0.001;0.001;174
2;4;2;1000000000;1000000000;0.3;0.3;0.001;0.001;174
2;4;3;1000000000;1000000000;0.3;0.3;0.001;0.001;174
