i;j;t;TC_aijt;G_aijt;F_aij;W_ij
1;1;1;1000000000;0.1;0.0002;60
1;1;2;1000000000;0.1;0.0002;60
1;1;3;1000000000;0.1;0.0002;60
1;2;1;1000000000;0.1;0.0002;74
1;2;2;1000000000;0.1;0.0002;74
1;2;3;1000000000;0.1;0.0002;74
1;3;1;1000000000;0.1;0.0002;27
1;3;2;1000000000;0.1;0.0002;27
1;3;3;1000000000;0.1;0.0002;27
2;1;1;1000000000;0.1;0.0002;120
2;1;2;1000000000;0.1;0.0002;120
2;1;3;1000000000;0.1;0.0002;120
2;2;1;1000000000;0.1;0.0002;37
2;2;2;1000000000;0.1;0.0002;37
2;2;3;1000000000;0.1;0.0002;37
2;3;1;1000000000;0.1;0.0002;58
2;3;2;1000000000;0.1;0.0002;58
2;3;3;1000000000;0.1;0.0002;58
3;1;1;1000000000;0.1;0.0002;107
3;1;2;1000000000;0.1;0.0002;107
3;1;3;1000000000;0.1;0.0002;107
3;2;1;1000000000;0.1;0.0002;112
3;2;2;1000000000;0.1;0.0002;112
3;2;3;1000000000;0.1;0.0002;112
3;3;1;1000000000;0.1;0.0002;89
3;3;2;1000000000;0.1;0.0002;89
3;3;3;1000000000;0.1;0.0002;89
4;1;1;1000000000;0.1;0.0002;44
4;1;2;1000000000;0.1;0.0002;44
4;1;3;1000000000;0.1;0.0002;44
4;2;1;1000000000;0.1;0.0002;93
4;2;2;1000000000;0.1;0.0002;93
4;2;3;1000000000;0.1;0.0002;93
4;3;1;1000000000;0.1;0.0002;98
4;3;2;1000000000;0.1;0.0002;98
4;3;3;1000000000;0.1;0.0002;98












