u;t;Cap_cut;Cap_eut;Cap_fut;H_cut;H_eut;H_fut
1;1;1000000000;1000000000;1000000000;8;8;8
1;2;1000000000;1000000000;1000000000;8;8;8
1;3;1000000000;1000000000;1000000000;8;8;8
2;1;1000000000;1000000000;1000000000;8;8;8
2;2;1000000000;1000000000;1000000000;8;8;8
2;3;1000000000;1000000000;1000000000;8;8;8
3;1;1000000000;1000000000;1000000000;8;8;8
3;2;1000000000;1000000000;1000000000;8;8;8
3;3;1000000000;1000000000;1000000000;8;8;8
4;1;1000000000;1000000000;1000000000;8;8;8
4;2;1000000000;1000000000;1000000000;8;8;8
4;3;1000000000;1000000000;1000000000;8;8;8
