p;u;t;TC_cput;G_cput;F_cpu;W_pu
1;1;1;1000000000;0.2;0.0008;1300
1;1;2;1000000000;0.2;0.0008;1300
1;1;3;1000000000;0.2;0.0008;1300
1;2;1;1000000000;0.2;0.0008;894
1;2;2;1000000000;0.2;0.0008;894
1;2;3;1000000000;0.2;0.0008;894
1;3;1;1000000000;0.2;0.0008;1219
1;3;2;1000000000;0.2;0.0008;1219
1;3;3;1000000000;0.2;0.0008;1219
1;4;1;1000000000;0.2;0.0008;1198
1;4;2;1000000000;0.2;0.0008;1198
1;4;3;1000000000;0.2;0.0008;1198
2;1;1;1000000000;0.2;0.0008;1309
2;1;2;1000000000;0.2;0.0008;1309
2;1;3;1000000000;0.2;0.0008;1309
2;2;1;1000000000;0.2;0.0008;1448
2;2;2;1000000000;0.2;0.0008;1448
2;2;3;1000000000;0.2;0.0008;1448
2;3;1;1000000000;0.2;0.0008;1293
2;3;2;1000000000;0.2;0.0008;1293
2;3;3;1000000000;0.2;0.0008;1293
2;4;1;1000000000;0.2;0.0008;1109
2;4;2;1000000000;0.2;0.0008;1109
2;4;3;1000000000;0.2;0.0008;1109
