q;u;t;TC_equt;TC_fqut;G_equt;G_fqut;F_equ;F_fqu;W_qu
1;1;1;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;2;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;3;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;4;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;5;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;6;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;7;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;8;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;9;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;10;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;11;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;12;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;13;1000000;1000000;0.3;0.3;0.001;0.001;300
1;1;14;1000000;1000000;0.3;0.3;0.001;0.001;300
1;2;1;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;2;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;3;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;4;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;5;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;6;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;7;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;8;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;9;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;10;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;11;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;12;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;13;1000000;1000000;0.3;0.3;0.001;0.001;246
1;2;14;1000000;1000000;0.3;0.3;0.001;0.001;246
1;3;1;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;2;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;3;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;4;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;5;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;6;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;7;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;8;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;9;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;10;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;11;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;12;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;13;1000000;1000000;0.3;0.3;0.001;0.001;317
1;3;14;1000000;1000000;0.3;0.3;0.001;0.001;317
1;4;1;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;2;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;3;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;4;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;5;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;6;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;7;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;8;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;9;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;10;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;11;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;12;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;13;1000000;1000000;0.3;0.3;0.001;0.001;174
1;4;14;1000000;1000000;0.3;0.3;0.001;0.001;174
1;5;1;1000000;1000000;0.3;0.3;0.001;0.001;119
1;5;2;1000000;1000000;0.3;0.3;0.001;0.001;119
1;5;3;1000000;1000000;0.3;0.3;0.001;0.001;119
1;5;4;1000000;1000000;0.3;0.3;0.001;0.001;119
1;5;5;1000000;1000000;0.3;0.3;0.001;0.001;119
1;5;6;1000000;1000000;0.3;0.3;0.001;0.001;119
1;5;7;1000000;1000000;0.3;0.3;0.001;0.001;119
1;5;8;1000000;1000000;0.3;0.3;0.001;0.001;119
1;5;9;1000000;1000000;0.3;0.3;0.001;0.001;119
