q;t;Cap_eqt;Cap_fqt;H_eqt;H_fqt;PC_eqt;PC_fqt;PW_cqt
1;1;1000000000;1000000000;3;2;1.5;1.5;1.5
1;2;1000000000;1000000000;3;2;1.5;1.5;1.5
1;3;1000000000;1000000000;3;2;1.5;1.5;1.5
1;4;1000000000;1000000000;3;2;1.5;1.5;1.5
1;5;1000000000;1000000000;3;2;1.5;1.5;1.5
1;6;1000000000;1000000000;3;2;1.5;1.5;1.5
1;7;1000000000;1000000000;3;2;1.5;1.5;1.5
1;8;1000000000;1000000000;3;2;1.5;1.5;1.5
1;9;1000000000;1000000000;3;2;1.5;1.5;1.5
1;10;1000000000;1000000000;3;2;1.5;1.5;1.5
1;11;1000000000;1000000000;3;2;1.5;1.5;1.5
1;12;1000000000;1000000000;3;2;1.5;1.5;1.5
1;13;1000000000;1000000000;3;2;1.5;1.5;1.5
1;14;1000000000;1000000000;3;2;1.5;1.5;1.5
2;1;1000000000;1000000000;3;2;1.5;1.5;1.5
2;2;1000000000;1000000000;3;2;1.5;1.5;1.5
2;3;1000000000;1000000000;3;2;1.5;1.5;1.5
2;4;1000000000;1000000000;3;2;1.5;1.5;1.5
2;5;1000000000;1000000000;3;2;1.5;1.5;1.5
2;6;1000000000;1000000000;3;2;1.5;1.5;1.5
2;7;1000000000;1000000000;3;2;1.5;1.5;1.5
2;8;1000000000;1000000000;3;2;1.5;1.5;1.5
2;9;1000000000;1000000000;3;2;1.5;1.5;1.5
2;10;1000000000;1000000000;3;2;1.5;1.5;1.5
2;11;1000000000;1000000000;3;2;1.5;1.5;1.5
2;12;1000000000;1000000000;3;2;1.5;1.5;1.5
2;13;1000000000;1000000000;3;2;1.5;1.5;1.5
2;14;1000000000;1000000000;3;2;1.5;1.5;1.5
3;1;1000000000;1000000000;3;2;1.5;1.5;1.5
3;2;1000000000;1000000000;3;2;1.5;1.5;1.5
3;3;1000000000;1000000000;3;2;1.5;1.5;1.5
3;4;1000000000;1000000000;3;2;1.5;1.5;1.5
3;5;1000000000;1000000000;3;2;1.5;1.5;1.5
3;6;1000000000;1000000000;3;2;1.5;1.5;1.5
3;7;1000000000;1000000000;3;2;1.5;1.5;1.5
3;8;1000000000;1000000000;3;2;1.5;1.5;1.5
3;9;1000000000;1000000000;3;2;1.5;1.5;1.5
3;10;1000000000;1000000000;3;2;1.5;1.5;1.5
3;11;1000000000;1000000000;3;2;1.5;1.5;1.5
3;12;1000000000;1000000000;3;2;1.5;1.5;1.5
3;13;1000000000;1000000000;3;2;1.5;1.5;1.5
3;14;1000000000;1000000000;3;2;1.5;1.5;1.5
4;1;1000000000;1000000000;3;2;1.5;1.5;1.5
4;2;1000000000;1000000000;3;2;1.5;1.5;1.5
4;3;1000000000;1000000000;3;2;1.5;1.5;1.5
4;4;1000000000;1000000000;3;2;1.5;1.5;1.5
4;5;1000000000;1000000000;3;2;1.5;1.5;1.5
4;6;1000000000;1000000000;3;2;1.5;1.5;1.5
4;7;1000000000;1000000000;3;2;1.5;1.5;1.5
4;8;1000000000;1000000000;3;2;1.5;1.5;1.5
4;9;1000000000;1000000000;3;2;1.5;1.5;1.5
4;10;1000000000;1000000000;3;2;1.5;1.5;1.5
4;11;1000000000;1000000000;3;2;1.5;1.5;1.5
4;12;1000000000;1000000000;3;2;1.5;1.5;1.5
4;13;1000000000;1000000000;3;2;1.5;1.5;1.5
4;14;1000000000;1000000000;3;2;1.5;1.5;1.5
5;1;1000000000;1000000000;3;2;1.5;1.5;1.5
5;2;1000000000;1000000000;3;2;1.5;1.5;1.5
5;3;1000000000;1000000000;3;2;1.5;1.5;1.5
5;4;1000000000;1000000000;3;2;1.5;1.5;1.5
5;5;1000000000;1000000000;3;2;1.5;1.5;1.5
5;6;1000000000;1000000000;3;2;1.5;1.5;1.5
5;7;1000000000;1000000000;3;2;1.5;1.5;1.5
5;8;1000000000;1000000000;3;2;1.5;1.5;1.5
5;9;1000000000;1000000000;3;2;1.5;1.5;1.5
5;10;1000000000;1000000000;3;2;1.5;1.5;1.5
5;11;1000000000;1000000000;3;2;1.5;1.5;1.5
5;12;1000000000;1000000000;3;2;1.5;1.5;1.5
5;13;1000000000;1000000000;3;2;1.5;1.5;1.5
5;14;1000000000;1000000000;3;2;1.5;1.5;1.5
6;1;1000000000;1000000000;3;2;1.5;1.5;1.5
6;2;1000000000;1000000000;3;2;1.5;1.5;1.5
6;3;1000000000;1000000000;3;2;1.5;1.5;1.5
6;4;1000000000;1000000000;3;2;1.5;1.5;1.5
6;5;1000000000;1000000000;3;2;1.5;1.5;1.5
6;6;1000000000;1000000000;3;2;1.5;1.5;1.5
6;7;1000000000;1000000000;3;2;1.5;1.5;1.5
6;8;1000000000;1000000000;3;2;1.5;1.5;1.5
6;9;1000000000;1000000000;3;2;1.5;1.5;1.5
6;10;1000000000;1000000000;3;2;1.5;1.5;1.5
6;11;1000000000;1000000000;3;2;1.5;1.5;1.5
6;12;1000000000;1000000000;3;2;1.5;1.5;1.5
6;13;1000000000;1000000000;3;2;1.5;1.5;1.5
6;14;1000000000;1000000000;3;2;1.5;1.5;1.5
7;1;1000000000;1000000000;3;2;1.5;1.5;1.5
7;2;1000000000;1000000000;3;2;1.5;1.5;1.5
7;3;1000000000;1000000000;3;2;1.5;1.5;1.5
7;4;1000000000;1000000000;3;2;1.5;1.5;1.5
7;5;1000000000;1000000000;3;2;1.5;1.5;1.5
7;6;1000000000;1000000000;3;2;1.5;1.5;1.5
7;7;1000000000;1000000000;3;2;1.5;1.5;1.5
7;8;1000000000;1000000000;3;2;1.5;1.5;1.5
7;9;1000000000;1000000000;3;2;1.5;1.5;1.5
7;10;1000000000;1000000000;3;2;1.5;1.5;1.5
7;11;1000000000;1000000000;3;2;1.5;1.5;1.5
7;12;1000000000;1000000000;3;2;1.5;1.5;1.5
7;13;1000000000;1000000000;3;2;1.5;1.5;1.5
7;14;1000000000;1000000000;3;2;1.5;1.5;1.5
8;1;1000000000;1000000000;3;2;1.5;1.5;1.5
8;2;1000000000;1000000000;3;2;1.5;1.5;1.5
8;3;1000000000;1000000000;3;2;1.5;1.5;1.5
8;4;1000000000;1000000000;3;2;1.5;1.5;1.5
8;5;1000000000;1000000000;3;2;1.5;1.5;1.5
8;6;1000000000;1000000000;3;2;1.5;1.5;1.5
8;7;1000000000;1000000000;3;2;1.5;1.5;1.5
8;8;1000000000;1000000000;3;2;1.5;1.5;1.5
8;9;1000000000;1000000000;3;2;1.5;1.5;1.5
8;10;1000000000;1000000000;3;2;1.5;1.5;1.5
8;11;1000000000;1000000000;3;2;1.5;1.5;1.5
8;12;1000000000;1000000000;3;2;1.5;1.5;1.5
8;13;1000000000;1000000000;3;2;1.5;1.5;1.5
8;14;1000000000;1000000000;3;2;1.5;1.5;1.5
9;1;1000000000;1000000000;3;2;1.5;1.5;1.5
9;2;1000000000;1000000000;3;2;1.5;1.5;1.5
