r;t;D_crt;D_ert;D_frt
1;1;200000;200000;200000
1;2;200000;200000;200000
1;3;200000;200000;200000
1;4;200000;200000;200000
1;5;200000;200000;200000
1;6;200000;200000;200000
1;7;200000;200000;200000
1;8;200000;200000;200000
1;9;200000;200000;200000
1;10;200000;200000;200000
1;11;200000;200000;200000
1;12;200000;200000;200000
1;13;200000;200000;200000
1;14;200000;200000;200000
2;1;200000;200000;200000
2;2;200000;200000;200000
2;3;200000;200000;200000
2;4;200000;200000;200000
2;5;200000;200000;200000
2;6;200000;200000;200000
2;7;200000;200000;200000
2;8;200000;200000;200000
2;9;200000;200000;200000
2;10;200000;200000;200000
2;11;200000;200000;200000
2;12;200000;200000;200000
2;13;200000;200000;200000
2;14;200000;200000;200000
3;1;200000;200000;200000
3;2;200000;200000;200000
3;3;200000;200000;200000
3;4;200000;200000;200000
3;5;200000;200000;200000
3;6;200000;200000;200000
3;7;200000;200000;200000
3;8;200000;200000;200000
3;9;200000;200000;200000
3;10;200000;200000;200000
3;11;200000;200000;200000
3;12;200000;200000;200000
3;13;200000;200000;200000
3;14;200000;200000;200000
4;1;200000;200000;200000
4;2;200000;200000;200000
4;3;200000;200000;200000
4;4;200000;200000;200000
4;5;200000;200000;200000
4;6;200000;200000;200000
4;7;200000;200000;200000
4;8;200000;200000;200000
4;9;200000;200000;200000
4;10;200000;200000;200000
4;11;200000;200000;200000
4;12;200000;200000;200000
4;13;200000;200000;200000
4;14;200000;200000;200000
5;1;200000;200000;200000
5;2;200000;200000;200000
5;3;200000;200000;200000
5;4;200000;200000;200000
5;5;200000;200000;200000
5;6;200000;200000;200000
5;7;200000;200000;200000
5;8;200000;200000;200000
5;9;200000;200000;200000
5;10;200000;200000;200000
5;11;200000;200000;200000
5;12;200000;200000;200000
5;13;200000;200000;200000
5;14;200000;200000;200000
